article_id,title,source,selection_group,selection_rule,has_abstract,embedding_text_source,qdrant_point_id
WOS:001154920600001,Effect of online health training/counseling and progressive muscle relaxation exercise on postpartum depression and maternal attachment: A randomized controlled trial,data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Doğum sonrası depresyon; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),a26a1845-e686-59b5-ad9f-85f12418b761
WOS:001157189800001,"Predictors, moderators and mediators of psychological therapies for perinatal depression in low- and middle-income countries: a systematic review",data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Perinatal depresyon terapisi; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),0b384c13-b1a1-597a-a424-d4f88581116f
WOS:001157724100001,Depression and life satisfaction after Kahramanmaraş earthquakes: The serial mediation roles of life meaning and coping with earthquake stress,data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Deprem sonrası depresyon; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),6b392579-60c6-5681-b903-bfc4c71d09ed
WOS:001158980200001,"Synergistic Effects of Energy Level Alignment and Trap Passivation via 3,4-Dihydroxyphenethylamine Hydrochloride for Efficient and Air-Stable Perovskite Solar Cells",data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit pasivasyonu; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),cb6f324c-0920-589a-a9c8-0c3db70a0864
WOS:001163332000001,Gellan gum/PEDOT:PSS gel electrolyte and application on quasi-solid dye sensitized solar cells,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Boya duyarlı güneş hücresi; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),c0638a47-285d-5e82-96e7-ee8719f555e4
WOS:001163480800004,"Effects of a Mindfulness-Based Stress Reduction Program on Stress, Depression, and Psychological Well-being in Patients With Cancer",data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Kanserde stres ve depresyon; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),ddd23ef4-6aee-59f6-a8fa-28649bb8bf98
WOS:001165771600001,The effect of outer container geometry on the thermal management of lithium-ion batteries with a combination of phase change material and metal foam,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Batarya termal yönetimi; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),11dcae47-1740-5f06-9204-49a115c594b3
WOS:001167231700001,Incorporation Mechanism of Potassium in FAPbI<sub>3</sub> Perovskite Solar Cell Materials,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit malzeme katkılama; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),52f7c602-07c2-52eb-9bf9-21e0d7e9d5dc
WOS:001168109200001,High-performance Na-ion full-cells with P2-type Na<sub>0.67</sub>Mn<sub>0.5-x</sub>Ni<sub>x</sub>Fe<sub>0.43</sub>Al<sub>0.07</sub>O<sub>2</sub> cathodes: Cost analysis for stationary battery storage systems,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Sodyum iyon batarya; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),7f24fb60-2c6b-5e1a-9459-938d7a219cd9
WOS:001168628400001,Simulation and forecasting of power by energy harvesting method in photovoltaic panels using artificial neural network,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Fotovoltaik güç tahmini; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),5a78aa3f-3590-5117-997a-ad1e2a82fae3
WOS:001173733800001,Ion-Migration Inhibitor for Spiro-OMeTAD/Perovskite Contact toward Stable Perovskite Solar Cells,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit temas kararlılığı; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),85dfea25-7e71-5918-8180-52d70b8ed012
WOS:001178378200001,"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit taşıma malzemesi; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),749a11c5-fc98-57c5-9957-e2ec2fcf8df4
WOS:001182798400001,"Multitask Learning for Mental Health: Depression, Anxiety, Stress (DAS) Using Wearables",data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Giyilebilirlerle ruh sağlığı; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),47903d6d-4d8a-5365-af78-9ea5866b2b86
WOS:001191208900001,Molecularly Engineered Multifunctional Bridging Layer Derived from Dithiafulavene Capped Spiroxanthene for Stable and Efficient Perovskite Solar Cells,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit ara katmanı; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),534d3e12-b5de-5d8a-856d-0bb6d9ed3ee2
